AVILA;7;PP;VOX;PSOE.;XAV;Cs;PODEMOS-IU-AV;PACMA;PYC (ANULADA);PCAS-TC-RC;FE de las JONS;;;;
BURGOS;11;PSOE;PP;VOX;ESPAÑA VACIADA;PODEMOS-IU-AV;PCTE;PCAS-TC-RC;PACMA;Cs;EB;;;;
LEÓN;13;UPL;PP;PSOE;VOX;PODEMOS-IU-AV;PREPAL;PCAS-TC-RC;PACMA;Cs;C.Bierzo - BEX;PCTE;;;
PALENCIA;7;PP;PSOE;PODEMOS-IU-AV;ESPAÑA VACIADA;VOX;Cs;PUM+J;PUEDE;PCAS-TC-RC;PACMA;DESPIERTA;PCTE;FE de las JONS;
SALAMANCA;10;PP;PSOE;Cs;VOX;ESPAÑA VACIADA;PODEMOS-IU-AV;UPL;PCAS-TC-RC;PREPAL;PACMA;PUM+J;TAB;VOLT;PCTE
SEGOVIA;6;PP;PSOE;VOX;PODEMOS-IU-AV;Cs;centrados;PCAS-TC-RC;PACMA;;;;;;
SORIA;5;SY;PSOE;VOX;PP;PODEMOS-IU-AV;PCAS-TC-RC;PP.CC.AL;PACMA;PUM+J;Cs;;;;
VALLADOLID;15;PP;VOX;Cs;PSOE;PODEMOS-IU-AV;XAV;PCTE;PCAS-TC-RC;UNIÓN REGIONALISTA;PUM+J;PACMA;FE de las JONS;ESPAÑA VACIADA;
ZAMORA;7;PP;PSOE;PODEMOS-IU-AV;VOX;Cs;ZAMORA DECIDE;UPL;POR ZAMORA;PACMA;PCAS-TC-RC;PREPAL;;;
